20/12/10 20:55
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	5556	51549	    136407	    136706	   56	
未翻訳：        	5275	49487	    130428	    130711	   54	
繰り返しを除いた：   	5424	51308	    135357	    135656	   56	
繰り返しを除いた未翻訳：	5211	49367	    129999	    130282	   54	


ファイルごとの翻訳状況：

ファイル名           	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
episode_0001.txt	    104	     0	        104	             0	    931	     0	        931	             0	          2569	            0	              2569	                    0	          2574	            0	              2574	                    0	
episode_0002.txt	    102	     0	        100	             0	    925	     0	        922	             0	          2529	            0	              2513	                    0	          2537	            0	              2521	                    0	
episode_0003.txt	    100	    90	         99	            90	    797	   707	        795	           707	          2196	         1910	              2186	                 1910	          2199	         1910	              2189	                 1910	
episode_0004.txt	    110	   109	        109	           109	   1053	  1051	       1051	          1051	          2708	         2698	              2698	                 2698	          2711	         2701	              2701	                 2701	
episode_0005.txt	    111	   110	        110	           110	    952	   950	        950	           950	          2468	         2458	              2458	                 2458	          2471	         2461	              2461	                 2461	
episode_0006.txt	     91	    90	         90	            90	    877	   875	        875	           875	          2302	         2292	              2292	                 2292	          2306	         2296	              2296	                 2296	
episode_0007.txt	     93	    92	         91	            91	    813	   811	        810	           810	          2300	         2290	              2287	                 2287	          2308	         2298	              2295	                 2295	
episode_0008.txt	     99	    97	         96	            96	    897	   895	        894	           894	          2363	         2349	              2346	                 2346	          2366	         2352	              2349	                 2349	
episode_0009.txt	     91	    89	         89	            89	    865	   863	        863	           863	          2332	         2318	              2318	                 2318	          2335	         2321	              2321	                 2321	
episode_0010.txt	    103	   102	        101	           101	    856	   854	        853	           853	          2470	         2460	              2454	                 2454	          2476	         2466	              2460	                 2460	
episode_0011.txt	    102	   101	        101	           101	    949	   947	        947	           947	          2357	         2347	              2347	                 2347	          2360	         2350	              2350	                 2350	
episode_0012.txt	    104	   103	        103	           103	    945	   943	        943	           943	          2512	         2502	              2502	                 2502	          2515	         2505	              2505	                 2505	
episode_0013.txt	     91	    90	         89	            89	   1014	  1012	       1009	          1009	          2593	         2583	              2574	                 2574	          2596	         2586	              2577	                 2577	
episode_0014.txt	     83	    82	         81	            81	    847	   845	        844	           844	          2201	         2191	              2184	                 2184	          2205	         2195	              2188	                 2188	
episode_0015.txt	     94	    92	         91	            91	    922	   920	        917	           917	          2269	         2255	              2246	                 2246	          2272	         2258	              2249	                 2249	
episode_0016.txt	     83	    82	         82	            82	    835	   833	        833	           833	          2251	         2241	              2241	                 2241	          2255	         2245	              2245	                 2245	
episode_0017.txt	     94	    93	         93	            93	    829	   827	        827	           827	          2387	         2377	              2377	                 2377	          2391	         2381	              2381	                 2381	
episode_0018.txt	    105	   104	        104	           104	   1005	  1003	       1003	          1003	          2696	         2686	              2686	                 2686	          2700	         2690	              2690	                 2690	
episode_0019.txt	     95	    94	         93	            93	    893	   891	        890	           890	          2282	         2272	              2269	                 2269	          2285	         2275	              2272	                 2272	
episode_0020.txt	     93	    92	         92	            92	    896	   894	        894	           894	          2424	         2414	              2414	                 2414	          2435	         2425	              2425	                 2425	
episode_0021.txt	     83	    82	         82	            82	    885	   883	        883	           883	          2462	         2452	              2452	                 2452	          2482	         2472	              2472	                 2472	
episode_0022.txt	     99	    98	         96	            96	   1012	  1010	       1006	          1006	          2574	         2564	              2552	                 2552	          2578	         2568	              2556	                 2556	
episode_0023.txt	     86	    85	         84	            84	    848	   846	        843	           843	          2354	         2344	              2335	                 2335	          2361	         2351	              2342	                 2342	
episode_0024.txt	     78	    77	         77	            77	    847	   845	        845	           845	          2312	         2302	              2302	                 2302	          2315	         2305	              2305	                 2305	
episode_0025.txt	    105	   104	        101	           101	    904	   902	        899	           899	          2454	         2444	              2432	                 2432	          2464	         2454	              2442	                 2442	
episode_0026.txt	     81	    80	         79	            79	    880	   878	        876	           876	          2406	         2396	              2388	                 2388	          2420	         2410	              2402	                 2402	
episode_0027.txt	    100	    98	         97	            97	    925	   920	        919	           919	          2383	         2364	              2360	                 2360	          2387	         2368	              2364	                 2364	
episode_0028.txt	    121	   120	        118	           118	   1246	  1244	       1240	          1240	          3250	         3240	              3226	                 3226	          3255	         3245	              3231	                 3231	
episode_0029.txt	     98	    97	         96	            96	    869	   867	        866	           866	          2274	         2264	              2261	                 2261	          2280	         2270	              2267	                 2267	
episode_0030.txt	    112	   111	        111	           111	    873	   871	        871	           871	          2265	         2255	              2255	                 2255	          2268	         2258	              2258	                 2258	
episode_0031.txt	     96	    95	         93	            93	    857	   855	        851	           851	          2545	         2535	              2523	                 2523	          2574	         2564	              2552	                 2552	
episode_0032.txt	    106	   105	        103	           103	    846	   844	        840	           840	          2246	         2236	              2222	                 2222	          2249	         2239	              2225	                 2225	
episode_0033.txt	    107	   104	        103	           103	    929	   924	        921	           921	          2421	         2398	              2389	                 2389	          2424	         2401	              2392	                 2392	
episode_0034.txt	    109	   108	        107	           107	    988	   986	        983	           983	          2646	         2636	              2627	                 2627	          2649	         2639	              2630	                 2630	
episode_0035.txt	    144	   142	        142	           142	   1145	  1143	       1143	          1143	          3186	         3172	              3172	                 3172	          3189	         3175	              3175	                 3175	
episode_0036.txt	    106	   105	        104	           104	    960	   958	        957	           957	          2468	         2458	              2455	                 2455	          2471	         2461	              2458	                 2458	
episode_0037.txt	    108	   106	        106	           106	    969	   966	        966	           966	          2540	         2524	              2524	                 2524	          2543	         2527	              2527	                 2527	
episode_0038.txt	    103	   102	         97	            97	    877	   875	        863	           863	          2257	         2247	              2205	                 2205	          2261	         2251	              2209	                 2209	
episode_0039.txt	     87	    86	         85	            85	    805	   803	        800	           800	          2318	         2308	              2299	                 2299	          2334	         2324	              2315	                 2315	
episode_0040.txt	     88	    87	         85	            85	    896	   894	        890	           890	          2196	         2186	              2171	                 2171	          2202	         2192	              2177	                 2177	
episode_0041.txt	    107	   105	        103	           103	   1065	  1063	       1059	          1059	          2801	         2787	              2773	                 2773	          2804	         2790	              2776	                 2776	
episode_0042.txt	     86	    85	         83	            83	    779	   777	        773	           773	          2224	         2214	              2201	                 2201	          2234	         2224	              2211	                 2211	
episode_0043.txt	     82	    81	         79	            79	    834	   832	        828	           828	          2182	         2172	              2158	                 2158	          2185	         2175	              2161	                 2161	
episode_0044.txt	     95	    94	         94	            94	    846	   844	        844	           844	          2190	         2180	              2180	                 2180	          2195	         2185	              2185	                 2185	
episode_0045.txt	    111	   109	        105	           105	    994	   992	        989	           989	          2471	         2457	              2434	                 2434	          2474	         2460	              2437	                 2437	
episode_0046.txt	     94	    93	         90	            90	    857	   855	        847	           847	          2248	         2238	              2210	                 2210	          2254	         2244	              2216	                 2216	
episode_0047.txt	     91	    88	         87	            87	    900	   895	        894	           894	          2370	         2347	              2340	                 2340	          2373	         2350	              2343	                 2343	
episode_0048.txt	     88	    87	         85	            85	    806	   804	        799	           799	          2239	         2229	              2215	                 2215	          2242	         2232	              2218	                 2218	
episode_0049.txt	     94	    93	         91	            91	    980	   978	        974	           974	          2504	         2494	              2477	                 2477	          2509	         2499	              2482	                 2482	
episode_0050.txt	    100	    99	         97	            97	    882	   880	        875	           875	          2320	         2310	              2297	                 2297	          2323	         2313	              2300	                 2300	
episode_0051.txt	     95	    94	         93	            93	    953	   951	        948	           948	          2242	         2232	              2223	                 2223	          2245	         2235	              2226	                 2226	
episode_0052.txt	     95	    94	         92	            92	    830	   828	        824	           824	          2196	         2186	              2171	                 2171	          2199	         2189	              2174	                 2174	
episode_0053.txt	    127	   126	        123	           123	    996	   994	        989	           989	          2499	         2489	              2475	                 2475	          2502	         2492	              2478	                 2478	
episode_0054.txt	     86	    85	         82	            82	    848	   846	        841	           841	          2206	         2196	              2175	                 2175	          2209	         2199	              2178	                 2178	
episode_0055.txt	    159	   158	        157	           157	   1430	  1428	       1427	          1427	          3607	         3597	              3589	                 3589	          3610	         3600	              3592	                 3592	
episode_0056.txt	     81	    80	         79	            79	    887	   885	        884	           884	          2342	         2332	              2328	                 2328	          2345	         2335	              2331	                 2331	
